id,pop,lat,lon,Altitude,woreda,Stage,Sex,popn type,site
AG059,Sidama,6.76217094,38.51983249,2110,Wonsho,parent,female,gudumale/communal gathering,Wonsho Gudumale
AG060,Sidama,6.76217094,38.51983249,2110,Wonsho,parent,male,gudumale/communal gathering,Wonsho Gudumale
AG061,Sidama,6.76217094,38.51983249,2110,Wonsho,parent,male,gudumale/communal gathering,Wonsho Gudumale
AG062,Sidama,6.76217094,38.51983249,2110,Wonsho,parent,male,gudumale/communal gathering,Wonsho Gudumale
AG063,Sidama,6.76217094,38.51983249,2110,Wonsho,parent,male,gudumale/communal gathering,Wonsho Gudumale
AG064,Sidama,6.76217094,38.51983249,2110,Wonsho,parent,female,gudumale/communal gathering,Wonsho Gudumale
AG065,Sidama,6.76217094,38.51983249,2110,Wonsho,parent,female,gudumale/communal gathering,Wonsho Gudumale
AG066,Sidama,6.76217094,38.51983249,2110,Wonsho,progeny,unknown,gudumale/communal gathering,Wonsho Gudumale
AG067,Sidama,6.76213498,38.52005875,2107,Wonsho,progeny,unknown,gudumale/communal gathering,Wonsho Gudumale
AG068,Sidama,6.76213498,38.52005875,2107,Wonsho,progeny,unknown,gudumale/communal gathering,Wonsho Gudumale
AG069,Sidama,6.76213498,38.52005875,2107,Wonsho,progeny,unknown,gudumale/communal gathering,Wonsho Gudumale
AG070,Sidama,6.76213498,38.52005875,2107,Wonsho,progeny,unknown,gudumale/communal gathering,Wonsho Gudumale
AG071,Sidama,6.76213498,38.52005875,2107,Wonsho,progeny,unknown,gudumale/communal gathering,Wonsho Gudumale
AG072,Sidama,6.76213498,38.52005875,2107,Wonsho,progeny,unknown,gudumale/communal gathering,Wonsho Gudumale
AG073,Sidama,6.76213498,38.52005875,2107,Wonsho,progeny,unknown,gudumale/communal gathering,Wonsho Gudumale
AG074,Sidama,6.76213498,38.52005875,2107,Wonsho,progeny,unknown,gudumale/communal gathering,Wonsho Gudumale
AG075,Sidama,7.099655166,38.63835307,1978,Wondogenet,parent,female,N.forest patch,Wondogenet college
AG076,Sidama,7.099655166,38.63835307,1978,Wondogenet,progeny,unknown,N.forest patch,Wondogenet college
AG077,Sidama,7.100261287,38.63842504,1994,Wondogenet,progeny,unknown,N.forest patch,Wondogenet college
AG078,Sidama,7.100261287,38.63842504,1994,Wondogenet,progeny,unknown,N.forest patch,Wondogenet college
AG079,Sidama,7.100062507,38.63871497,2011,Wondogenet,parent,female,N.forest patch,Wondogenet college
AG080,Sidama,7.097800393,38.6378474,1900,Wondogenet,parent,male,N.forest patch,Wondogenet college
AG081,Sidama,7.098251689,38.63657928,1893,Wondogenet,parent,male,N.forest patch,Wondogenet college
AG082,Sidama,7.097889611,38.63626262,1885,Wondogenet,progeny,unknown,N.forest patch,Wondogenet college
AG083,Sidama,7.103323592,38.63307078,1875,Wondogenet,parent,female,N.forest patch,Wondogenet college
AG084,Sidama,7.10361312,38.63315205,1864,Wondogenet,progeny,unknown,N.forest patch,Wondogenet college
AG085,Sidama,7.10449928,38.63274384,1874,Wondogenet,parent,male,N.forest patch,Wondogenet college
AG086,Sidama,7.104461183,38.63033507,1843,Wondogenet,progeny,unknown,N.forest patch,Wondogenet college
AG087,Sidama,7.104461183,38.63033507,1843,Wondogenet,progeny,unknown,N.forest patch,Wondogenet college
AG088,Sidama,7.107736193,38.63090297,1865,Wondogenet,parent,female,N.forest patch,Wondogenet college
AG089,Sidama,7.107736193,38.63090297,1865,Wondogenet,progeny,unknown,N.forest patch,Wondogenet college
AG090,Sidama,7.106894348,38.63016107,1841,Wondogenet,parent,female,N.forest patch,Wondogenet college
AG091,Sidama,7.106894348,38.63016107,1841,Wondogenet,progeny,unknown,N.forest patch,Wondogenet college
AG092,Sidama,7.101219691,38.62644377,1801,Wondogenet,parent,male,N.forest patch,Wondogenet college
AG093,Gurage,8.083981517,37.93338037,2214,Cheha,parent,female,N.forest patch,Auger
AG094,Gurage,8.083981517,37.93338037,2214,Cheha,parent,male,N.forest patch,Auger
AG095,Gurage,8.083981517,37.93338037,2214,Cheha,progeny,unknown,N.forest patch,Auger
AG096,Gurage,8.083981517,37.93338037,2214,Cheha,progeny,unknown,N.forest patch,Auger
AG097,Gurage,8.083493286,37.93343611,2217,Cheha,parent,male,N.forest patch,Auger
AG098,Gurage,8.083493286,37.93343611,2217,Cheha,progeny,unknown,N.forest patch,Auger
AG099,Gurage,8.083493286,37.93343611,2217,Cheha,parent,female,N.forest patch,Auger
AG100,Gurage,8.083493286,37.93343611,2217,Cheha,progeny,unknown,N.forest patch,Auger
AG101,Gurage,8.08358666,37.93456114,2248,Cheha,progeny,unknown,N.forest patch,Auger
AG102,Gurage,8.08358666,37.93456114,2248,Cheha,progeny,unknown,N.forest patch,Auger
AG103,Gurage,8.08358666,37.93456114,2248,Cheha,parent,male,N.forest patch,Auger
AG104,Gurage,8.08358666,37.93456114,2248,Cheha,parent,female,N.forest patch,Auger
AG105,Gurage,8.08410304,37.93489555,2208,Cheha,parent,female,N.forest patch,Auger
AG106,Gurage,8.08410304,37.93489555,2208,Cheha,parent,male,N.forest patch,Auger
AG107,Gurage,8.083805015,37.93505968,2238,Cheha,progeny,unknown,N.forest patch,Auger
AG108,Gurage,8.083805015,37.93505968,2238,Cheha,progeny,unknown,N.forest patch,Auger
AG109,Gurage,8.083453483,37.93551434,2225,Cheha,parent,female,N.forest patch,Auger
AG110,Gurage,8.083453483,37.93551434,2225,Cheha,progeny,unknown,N.forest patch,Auger
AG111,Gurage,8.083453483,37.93551434,2225,Cheha,progeny,unknown,N.forest patch,Auger
AG112,Gurage,8.08282782,37.93488982,2249,Cheha,parent,male,N.forest patch,Auger
AG113,Gurage,8.154080803,37.85682752,1943,Cheha,seedling,unknown,Nursery population,Girar dibir
AG114,Gurage,8.154080803,37.85682752,1943,Cheha,seedling,unknown,Nursery population,Girar dibir
AG115,Gurage,8.154080803,37.85682752,1943,Cheha,seedling,unknown,Nursery population,Girar dibir
AG116,Gurage,8.154080803,37.85682752,1943,Cheha,seedling,unknown,Nursery population,Girar dibir
AG117,Gurage,8.154080803,37.85682752,1943,Cheha,seedling,unknown,Nursery population,Girar dibir
AG118,Gurage,8.154080803,37.85682752,1943,Cheha,seedling,unknown,Nursery population,Girar dibir
AG119,Gurage,8.154080803,37.85682752,1943,Cheha,seedling,unknown,Nursery population,Girar dibir
AG120,Gurage,8.154080803,37.85682752,1943,Cheha,seedling,unknown,Nursery population,Girar dibir
AG121,Gurage,8.154080803,37.85682752,1943,Cheha,seedling,unknown,Nursery population,Girar dibir
AG122,Gurage,8.154080803,37.85682752,1943,Cheha,seedling,unknown,Nursery population,Girar dibir
AG123,Gurage,8.245753278,38.08433803,2335,Mihur Aklil,progeny,unknown,Church forest (old monastry),ME Gedam
AG124,Gurage,8.245753278,38.08433803,2335,Mihur Aklil,progeny,unknown,Church forest (old monastry),ME Gedam
AG125,Gurage,8.245753278,38.08433803,2335,Mihur Aklil,parent,female,Church forest (old monastry),ME Gedam
AG126,Gurage,8.245770517,38.08396575,2345,Mihur Aklil,parent,unknown,Church forest (old monastry),ME Gedam
AG127,Gurage,8.245986688,38.08357486,2316,Mihur Aklil,parent,male,Church forest (old monastry),ME Gedam
AG128,Gurage,8.245986688,38.08357486,2316,Mihur Aklil,progeny,unknown,Church forest (old monastry),ME Gedam
AG129,Gurage,8.245986688,38.08357486,2316,Mihur Aklil,progeny,unknown,Church forest (old monastry),ME Gedam
AG130,Gurage,8.245805574,38.08347541,2340,Mihur Aklil,parent,unknown,Church forest (old monastry),ME Gedam
AG131,Gurage,8.24557901,38.0832762,2314,Mihur Aklil,progeny,unknown,Church forest (old monastry),ME Gedam
AG132,Gurage,8.24557901,38.0832762,2314,Mihur Aklil,parent,unknown,Church forest (old monastry),ME Gedam
AG133,Gurage,8.246275087,38.08312933,2326,Mihur Aklil,progeny,unknown,Church forest (old monastry),ME Gedam
AG134,Gurage,8.246275087,38.08312933,2326,Mihur Aklil,progeny,unknown,Church forest (old monastry),ME Gedam
AG135,Gurage,8.246275087,38.08312933,2326,Mihur Aklil,progeny,unknown,Church forest (old monastry),ME Gedam
AG136,Gurage,8.246275087,38.08312933,2326,Mihur Aklil,progeny,unknown,Church forest (old monastry),ME Gedam
AG137,Gurage,8.246727281,38.08311921,2345,Mihur Aklil,parent,female,Church forest (old monastry),ME Gedam
AG138,Gurage,8.246872342,38.08327322,2337,Mihur Aklil,parent,male,Church forest (old monastry),ME Gedam
AG139,Gurage,8.246800258,38.08339141,2335,Mihur Aklil,parent,male,Church forest (old monastry),ME Gedam
AG140,Gurage,8.246879787,38.08257413,2331,Mihur Aklil,parent,male,Church forest (old monastry),ME Gedam
AG141,Gurage,8.128224024,38.02307932,2332,Ejza,progeny,unknown,N.forest patch,Deban/Amba den
AG142,Gurage,8.128026055,38.0234973,2328,Ejza,progeny,unknown,N.forest patch,Deban/Amba den
AG143,Gurage,8.128280099,38.0238325,2352,Ejza,parent,unknown,N.forest patch,Deban/Amba den
AG144,Gurage,8.128280099,38.0238325,2352,Ejza,parent,unknown,N.forest patch,Deban/Amba den
