id,pop,lat,lon,Altitude,woreda,Zone/region,Stage,Sex,popn type
AG060,Wonsho Gudumale,6.76217094,38.51983249,2110,Wonsho,Sidama,parent,male,gudumale/communal gathering
AG061,Wonsho Gudumale,6.76217094,38.51983249,2110,Wonsho,Sidama,parent,male,gudumale/communal gathering
AG062,Wonsho Gudumale,6.76217094,38.51983249,2110,Wonsho,Sidama,parent,male,gudumale/communal gathering
AG063,Wonsho Gudumale,6.76217094,38.51983249,2110,Wonsho,Sidama,parent,male,gudumale/communal gathering
AG064,Wonsho Gudumale,6.76217094,38.51983249,2110,Wonsho,Sidama,parent,female,gudumale/communal gathering
AG065,Wonsho Gudumale,6.76217094,38.51983249,2110,Wonsho,Sidama,parent,female,gudumale/communal gathering
AG066,Wonsho Gudumale,6.76217094,38.51983249,2110,Wonsho,Sidama,progeny,,gudumale/communal gathering
AG067,Wonsho Gudumale,6.76213498,38.52005875,2107,Wonsho,Sidama,progeny,,gudumale/communal gathering
AG068,Wonsho Gudumale,6.76213498,38.52005875,2107,Wonsho,Sidama,progeny,,gudumale/communal gathering
AG069,Wonsho Gudumale,6.76213498,38.52005875,2107,Wonsho,Sidama,progeny,,gudumale/communal gathering
AG070,Wonsho Gudumale,6.76213498,38.52005875,2107,Wonsho,Sidama,progeny,,gudumale/communal gathering
AG071,Wonsho Gudumale,6.76213498,38.52005875,2107,Wonsho,Sidama,progeny,,gudumale/communal gathering
AG072,Wonsho Gudumale,6.76213498,38.52005875,2107,Wonsho,Sidama,progeny,,gudumale/communal gathering
AG073,Wonsho Gudumale,6.76213498,38.52005875,2107,Wonsho,Sidama,progeny,,gudumale/communal gathering
AG074,Wonsho Gudumale,6.76213498,38.52005875,2107,Wonsho,Sidama,progeny,,gudumale/communal gathering
AG075,Wondogenet college,7.099655166,38.63835307,1978,Wondogenet,Sidama,parent,female,N.forest patch
AG076,Wondogenet college,7.099655166,38.63835307,1978,Wondogenet,Sidama,progeny,,N.forest patch
AG077,Wondogenet college,7.100261287,38.63842504,1994,Wondogenet,Sidama,progeny,,N.forest patch
AG078,Wondogenet college,7.100261287,38.63842504,1994,Wondogenet,Sidama,progeny,,N.forest patch
AG079,Wondogenet college,7.100062507,38.63871497,2011,Wondogenet,Sidama,parent,female,N.forest patch
AG080,Wondogenet college,7.097800393,38.6378474,1900,Wondogenet,Sidama,parent,male,N.forest patch
AG081,Wondogenet college,7.098251689,38.63657928,1893,Wondogenet,Sidama,parent,male,N.forest patch
AG082,Wondogenet college,7.097889611,38.63626262,1885,Wondogenet,Sidama,progeny,,N.forest patch
AG083,Wondogenet college,7.103323592,38.63307078,1875,Wondogenet,Sidama,parent,female,N.forest patch
AG084,Wondogenet college,7.10361312,38.63315205,1864,Wondogenet,Sidama,progeny,,N.forest patch
AG085,Wondogenet college,7.10449928,38.63274384,1874,Wondogenet,Sidama,parent,male,N.forest patch
AG086,Wondogenet college,7.104461183,38.63033507,1843,Wondogenet,Sidama,progeny,,N.forest patch
AG087,Wondogenet college,7.104461183,38.63033507,1843,Wondogenet,Sidama,progeny,,N.forest patch
AG088,Wondogenet college,7.107736193,38.63090297,1865,Wondogenet,Sidama,parent,female,N.forest patch
AG089,Wondogenet college,7.107736193,38.63090297,1865,Wondogenet,Sidama,progeny,,N.forest patch
AG090,Wondogenet college,7.106894348,38.63016107,1841,Wondogenet,Sidama,parent,female,N.forest patch
AG091,Wondogenet college,7.106894348,38.63016107,1841,Wondogenet,Sidama,progeny,,N.forest patch
AG092,Wondogenet college,7.101219691,38.62644377,1801,Wondogenet,Sidama,parent,male,N.forest patch
AG093,Auger,8.083981517,37.93338037,2214,Cheha,Gurage,parent,female,N.forest patch
AG094,Auger,8.083981517,37.93338037,2214,Cheha,Gurage,parent,male,N.forest patch
AG095,Auger,8.083981517,37.93338037,2214,Cheha,Gurage,progeny,,N.forest patch
AG096,Auger,8.083981517,37.93338037,2214,Cheha,Gurage,progeny,,N.forest patch
AG097,Auger,8.083493286,37.93343611,2217,Cheha,Gurage,parent,male,N.forest patch
AG098,Auger,8.083493286,37.93343611,2217,Cheha,Gurage,progeny,,N.forest patch
AG099,Auger,8.083493286,37.93343611,2217,Cheha,Gurage,parent,female,N.forest patch
AG100,Auger,8.083493286,37.93343611,2217,Cheha,Gurage,progeny,,N.forest patch
AG101,Auger,8.08358666,37.93456114,2248,Cheha,Gurage,progeny,,N.forest patch
AG102,Auger,8.08358666,37.93456114,2248,Cheha,Gurage,progeny,,N.forest patch
AG103,Auger,8.08358666,37.93456114,2248,Cheha,Gurage,parent,male,N.forest patch
AG104,Auger,8.08358666,37.93456114,2248,Cheha,Gurage,parent,female,N.forest patch
AG105,Auger,8.08410304,37.93489555,2208,Cheha,Gurage,parent,female,N.forest patch
AG106,Auger,8.08410304,37.93489555,2208,Cheha,Gurage,parent,male,N.forest patch
AG107,Auger,8.083805015,37.93505968,2238,Cheha,Gurage,progeny,,N.forest patch
AG108,Auger,8.083805015,37.93505968,2238,Cheha,Gurage,progeny,,N.forest patch
AG109,Auger,8.083453483,37.93551434,2225,Cheha,Gurage,parent,female,N.forest patch
AG110,Auger,8.083453483,37.93551434,2225,Cheha,Gurage,progeny,,N.forest patch
AG111,Auger,8.083453483,37.93551434,2225,Cheha,Gurage,progeny,,N.forest patch
AG112,Auger,8.08282782,37.93488982,2249,Cheha,Gurage,parent,male,N.forest patch
AG113,Girar dibir,8.154080803,37.85682752,1943,Cheha,Gurage,seedling,,Nursery population
AG114,Girar dibir,8.154080803,37.85682752,1943,Cheha,Gurage,seedling,,Nursery population
AG115,Girar dibir,8.154080803,37.85682752,1943,Cheha,Gurage,seedling,,Nursery population
AG116,Girar dibir,8.154080803,37.85682752,1943,Cheha,Gurage,seedling,,Nursery population
AG117,Girar dibir,8.154080803,37.85682752,1943,Cheha,Gurage,seedling,,Nursery population
AG118,Girar dibir,8.154080803,37.85682752,1943,Cheha,Gurage,seedling,,Nursery population
AG119,Girar dibir,8.154080803,37.85682752,1943,Cheha,Gurage,seedling,,Nursery population
AG120,Girar dibir,8.154080803,37.85682752,1943,Cheha,Gurage,seedling,,Nursery population
AG121,Girar dibir,8.154080803,37.85682752,1943,Cheha,Gurage,seedling,,Nursery population
AG122,Girar dibir,8.154080803,37.85682752,1943,Cheha,Gurage,seedling,,Nursery population
AG123,ME Gedam,8.245753278,38.08433803,2335,Mihur Aklil,Gurage,progeny,,Church forest (old monastry)
AG124,ME Gedam,8.245753278,38.08433803,2335,Mihur Aklil,Gurage,progeny,,Church forest (old monastry)
AG125,ME Gedam,8.245753278,38.08433803,2335,Mihur Aklil,Gurage,parent,female,Church forest (old monastry)
AG126,ME Gedam,8.245770517,38.08396575,2345,Mihur Aklil,Gurage,parent,unknown,Church forest (old monastry)
AG127,ME Gedam,8.245986688,38.08357486,2316,Mihur Aklil,Gurage,parent,male,Church forest (old monastry)
AG128,ME Gedam,8.245986688,38.08357486,2316,Mihur Aklil,Gurage,progeny,,Church forest (old monastry)
AG129,ME Gedam,8.245986688,38.08357486,2316,Mihur Aklil,Gurage,progeny,,Church forest (old monastry)
AG130,ME Gedam,8.245805574,38.08347541,2340,Mihur Aklil,Gurage,parent,unknown,Church forest (old monastry)
AG131,ME Gedam,8.24557901,38.0832762,2314,Mihur Aklil,Gurage,progeny,,Church forest (old monastry)
AG132,ME Gedam,8.24557901,38.0832762,2314,Mihur Aklil,Gurage,parent,unknown,Church forest (old monastry)
AG133,ME Gedam,8.246275087,38.08312933,2326,Mihur Aklil,Gurage,progeny,,Church forest (old monastry)
